Stimme zu;Anhaltende Krisen und Konflikte, die fortschreitende Digitalisierung, die Globalisierung des Welthandels. Die Menschheit ist mit zahlreichen Herausforderungen konfrontiert. Dabei nimmt der Klimawandel eine ganz besondere Stellung ein. Er bedroht unsere natürliche Lebensgrundlage. Zugleich verstärkt er die Intensität anderer Herausforderungen.
Stimme zu;Schon im Sommer letzten Jahres haben wir im Rat die Verwaltung beauftragt, bei relevanten Vorlagen etwaige negative Auswirkungen auf das Klima und die Atmosphäre abzuschätzen, so dass Lösungen, die sich positiver auf das Klima auswirken, bevorzugt werden können. Wir werden uns auch in Zukunft dafür einsetzen, dass die Klimafreundlichkeit einzelner Maßnahmen bei der Entscheidungsfindung ein hohes Gewicht hat.
Stimme zu;so schnell wie möglich, spätestens bis 2025
Stimme eher zu;Gerade im urbanen Raum nimmt die Sonnenenergie eine Schlüsselposition bei der Modernisierung unserer Energieversorgung und im Kampf gegen den Klimawandel ein. Daher hat sich die CDU-Fraktion Ende letzten Jahres mit einem Ratsantrag für den Betrieb von Photovoltaik-Anlagen eingesetzt. Wir machen uns auch dafür stark, dass die Stadt Aachen den Ausbau von Photovoltaik-Anlagen auf privaten Gebäuden gemeinsam mit der Stadt Aachen finanziell fördert. Außerdem ist es wichtig, dass Altanlagen auch nach Auslauf der Förderung in Betrieb bleiben.
Stimme eher zu;Schon in den letzten Jahren haben wir uns dafür eingesetzt, neue Fläche für die Windenergie auszuweisen. Diesen Kurs wollen wir weiterhin fortsetzen. Natürlich sind dabei stets weitere Interessen des Naturschutzes und der Nachbarn der Anlagen zu beachten. Grundsätzlich wünschen wir uns weitere Windkraftanlagen.
Stimme zu;Wir setzen uns dafür ein, Dachflächen für die Erzeugung von Strom aus Sonnenenergie zu nutzen. Da aktuell die Errichtung von Photovoltaikanlagen auf Freiflächen gefördert wird, sind diese zusätzlich sinnvoll. Problematisch ist es jedoch dafür geeignete und nutzbare Flächen zu finden.
Teils / teils;Nicht jede Fassade eignet sich für Dämmungsmaßnahmen. Dennoch kann die energetische Sanierung älterer Gebäude einen gewichtigen Beitrag zum Klimaschutz leisten. Deshalb sind Maßnahmen, die Hauseigentümer zu Sanierungsarbeiten anregen unterstützenswert. Derzeit werden von Seiten des Bundes und Landes zahlreiche Förderungen, die auf eine energetische Sanierung von Immobilien abzielen, angeboten. Wir setzen uns dafür ein, dass Eigentümerinnen und Eigentümer von Seiten der Stadt Aachen noch besser über die zahlreichen Fördermöglichkeiten informiert werden. Dabei setzen wir auch auf den Verein „Alt-BAU plus“. Zugleich setzen wir uns schon jetzt für die Begrünung von Fassaden und Dächern ein. Neben weiteren positiven Effekten für Klima und Umwelt kann dadurch auch die Wärmedämmung von Gebäuden erhöht werden.
Stimme nicht zu;Die Abnahme und Vergütung des von älteren Solar- und Windanalgen erzeugten Stroms durch die STAWAG ist rechtlich nicht zulässig. Nach Wegfall des EEG-Vergütungsanspruchs ist eine Eigennutzung des erzeugten Stroms insbesondere in Kombination mit einem Stromspeicher sinnvoll.
etwas;Beim ÖPNV kommt es nicht alleine auf die Kapazität an. Sie ist einer von vielen Faktoren, um mehr Menschen zu einem Umstieg vom Auto hin zu Bus und Bahn zu bewegen. Wichtig ist, dass das ÖPNV-Angebot zu den Bedürfnissen der Menschen in und um Aachen passt. Uns ist es deshalb besonders wichtig, mit den Menschen ins Gespräch zu kommen und unseren ÖPNV gemeinsam mit und für seine Nutzer weiter zu entwickeln. Dadurch sollte der Modal Split für den ÖPNV von 14 % auf 17 % steigen können.;
Nein;Fahrverbote wären allenfalls als äußerstes Mittel, unter Wahrung der Verhältnismäßigkeit zur Gewährleistung der Luftreinheit zulässig. Heute müssen Verkehrsträger wie Fußgänger, Fahrräder und der ÖPNV genauso viel Beachtung finden wie der Kraftfahrzeugverkehr. Unsere Innenstadt muss weiterhin erreichbar bleiben.
Nein;Fahrverbote wären allenfalls als äußerstes Mittel, unter Wahrung der Verhältnismäßigkeit zur Gewährleistung der Luftreinheit zulässig. Heute müssen Verkehrsträger wie Fußgänger, Fahrräder und der ÖPNV genauso viel Beachtung finden wie der Kraftfahrzeugverkehr. Unsere Innenstadt muss weiterhin erreichbar bleiben.
Stimme zu;Aachen und seine Region gehören zusammen. Dementsprechend ist auch unser gemeinsamer ÖPNV fortlaufend anzupassen. Neben einer kontinuierlichen Verbesserung des Busangebots bietet die Idee der RegioTram eine große Chance für unsere Stadt und die Region.
5-15%;Parkplätze in der Innenstadt sind wichtig für Anwohner, den Einzelhandel, die Gastronomie und viel andere. Wir wollen die Aufenthaltsqualität steigern. Dabei werden Parkplätze wegfallen, um beispielsweise mehr Grünflächen zu schaffen oder bessere Rad- und Fußwege anzulegen.
Stimme nicht zu;Wir wollen, dass Menschen auch über ihre Quartiere hinaus mobil sind. Gleichzeitig ist es uns wichtig, Alternativen zum verbrennungsmotorbasierten Individualverkehr wie beispielsweise die Nutzung von Elektrofahrzeugen im Rahmen von Sharing-Konzepten attraktiver zu machen. Der Stellplatznachweis ist immer noch geboten, könnte aber durch Alternativen ersetzt werden.
Stimme zu;In Aachen setzen wir seit langem auf eine Flächenpolitik, die besonders ressourcenschonend ist. Der Erhalt bestehender und die Schaffung neuer Grünflächen gerade auch im Bereich der Innenstadt ist uns ein wichtiges Anliegen. Wo immer es möglich ist, versuchen wir Bestandsflächen zu entwickeln, anstatt Freiflächen zu versiegeln.
Stimme zu;Langfristig unterstützen wir dieses Ziel.
Stimme nicht zu;Nicht alle Forderungen sind aus baurechtlicher Sicht vollumfänglich umsetzbar. Unsere Stadtplanungspolitik fußt auf einem ganzheitlichen Ansatz. Dabei spielen die Aspekte des Klima- und Umweltschutzes eine wichtige Rolle. So setzen wir uns beispielsweise für die Begrünung von Dächern und Fassaden ein. Gleichzeitig wollen wir auch anderen Herausforderungen wie der bedarfsgerechten Weiterentwicklung des Aachener Wohnungsmarktes effektiv begegnen.
