Stimme nicht zu;Die Einschätzung und Festlegung den beschleunigten Klimawandel als größte Herausforderung der Menschheit zu bezeichnen fällt uns etwas schwer. Wie man an der derzeitigen Corona Krise sehen kann, leben wir in einem stetigen Wandel. Es ist deshalb schwer zukünftige Entwicklungen vorauszusehen und in ihrer Bedeutung einzuschätzen. Der Klimawandel ist sicherlich eine große Herausforderung und wir müssen dem entschlossen entgegentreten! Es ist dabei aber wichtig, dass die Regierungen aller Länder gemeinsam eine Strategie entwickeln müssen. Denn: Der Klimawandel kann nicht alleine durch einzelne Länder beeinflusst werden.
Stimme nicht zu;Bei ALLEN zukünftigen Entscheidungen sicherlich nicht. Bei allen größeren Projekten z.B. im Bauwesen, im Verkehr, in der digitalen Infrastruktur sollen die klimaverträglichsten Maßnahmen geprüft werden und unter der Voraussetzung, das sie wirklich sinnvoll und für die Stadt finanzierbar sind, auch durchgeführt werden.
Stimme zu;2025
Teils / teils;Bei Neubauten soll den Bauherren auch Alternativen angeboten werden mit dem Ziel fossile Brennstoffe so weit wie möglich zu reduzieren. Den größten Anteil an Energie benötigt der Komplex: „Heizen“. Es ist nicht sinnvoll ausschließlich PV-Anlagen zu fördern. Je nach Lage des Grundstücks kann z.B. auch Erdwärme oder Fernwärme genutzt werden.
Stimme voll und ganz zu;Der Vorteil des Repowerings liegt ganz klar in der ansteigenden Leistung der WKAs. Für Aachen könnte dies konkret den Vorteil bieten, dass nicht so viele oder sogar keine neuen Waldflächen für den Bau neuer WKAs ausgewiesen werden müssen. Denn der Bau von WKAs in Wäldern zerstört große Teile des Ökosystems.
Stimme nicht zu;Das Angebot an freien Flächen innerhalb des Stadtgebietes ist sehr klein und begrenzt. Jede PV-Großanlage an Freiflächen bedeutet auch einen gravierenden Eingriff ins Öko- System. Deshalb erscheint uns nicht sinnvoll Wiesen, Felder und Wälder mit PV-Anlagen zu bebauen.
Stimme eher zu;Grundsätzlich halten wir Gebäudesanierungen zur Reduktion von benötigter Energie für sehr wichtig. Deshalb stimmen wir einer Förderung der Sanierungsmaßnahmen von städtischen Gebäuden zu. In privaten Häusern führen Sanierungsmaßnahmen meist zu Mietsteigerungen, die aus unserer Sicht nicht durch Fördermaßnahmen der Stadt angestoßen werden müssen.
Stimme nicht zu;[Stattdessen 3ct/kWh] Wie oben bereits erwähnt, halten wir Repowering der WKAs für die bessere Maßnahme. Auch im Bereich der PV halten wir es für effizienter, wenn neue Anlagen durch alte ersetzt werden. Außerdem ist eine dauerhafte Subventionierung in diesem Bereich nicht zielführend. Es verteuert die Strompreise und ist somit auch unsozial.
deutlich;Wir schließen uns dem Konzept der ASEAG der „starken Achsen“ an: In Aachen sollen „Ringverbindungen“ dafür sorgen, dass nicht alle Fahrgäste über die Stadtmitte fahren müssen, um dann umzusteigen und wieder raus aus der Stadt in einen anderen Stadtteil zu fahren. Wir schließen uns der Idee der Städteregion an, eine von fossilen Brennstoffen unabhängige „Regiobahn“ von Baesweiler über Alsdorf, Würselen, Merzbrück nach AC Zentrum zu bauen.
Nein;Sowohl Berufstätigen, als auch Kunden/Patienten als auch Touristen muss es möglich sein in die Innenstadt zu gelangen. Da es in den Außenbereichen z.Zt. keine Parkhäuser gibt und auch keine in Planung sind, kann dieses Ziel nicht erreicht werden. Geschäfte und Firmen müssen beliefert werden können. Allerdings muss der Lieferdienst stark eingeschränkt werden. Es muss ein wirksames Konzept entwickelt werden mit dem die Innenstadt mit nur einem Lieferdienst erreicht werden kann und das zu einem Kunden nicht gleichzeitig mehrere Lieferdienste unterwegs sind.
