Stimme zu;Eindeutig ja! Der Klimawandel stellt eines der zentralen Kernthemen unseren Kommunalwahlkampfes dar. Dies belegt der nachfolgende Originalauszug unseres Kommunalwahl-Kurzprogramms: Dieser Auszug ist selbstredende Grundlage für alle nachfolgenden Fragen: Klimawandel ernst nehmen<br>Der Klimawandel stellt die größte Herausforderung unserer Zeit dar. Im Sinne der Generationengerechtigkeit geht es darum, die Lebensgrundlage unserer Kinder nicht zu zerstören. Die Folgen sind jedoch auch heute schon spürbar: Extremwetterereignisse wie Dürren, Hitzewellen oder Starkregen aber auch die Zunahme von weltweiten Pandemien sind erste Vorboten. Der dramatische Verlust der Biodiversität, den wir zurzeit erleben, wird durch den Klimawandel weiter verstärkt. Pflanzen in der Stadt  sind unverzichtbar für die Umwandlung von CO2 in Sauerstoff. Jeder Baum benötigt CO2 und stellt damit im Durchschnitt für 10 Einwohner den Sauerstoff bereit.<br>Wir setzen uns deshalb ein<br>- für ein klimaneutrales Aachen. Die Stadt soll ihren Energiebedarf in Zukunft vollständig aus erneuerbaren Energie decken können<br>- für ein begrüntes Aachen mit Baumpflanzungen, den Schutz des Baumbestandes und  begrünte Fassaden<br>- für die naturnahe Offenlegung der Öcher Bäche<br>- für die Nutzung von Energieeinsparpotenzialen, z. B. durch die bedarfsgerechte Schaltung von Ampelanlagen und Straßenbeleuchtungen<br>- für die Gründung von Bürgergenossenschaften zur Gewinnung von Sonnenenergie auf vielen Dächern der Stadt<br>- für die Schaffung von Baumoasen und den vollständigen Erhalt des Öcher Stadtwaldes als grüner Lunge Aachens<br>- für den Erwerb von Parzellen des Regenwaldes in Brasilien durch die StädteRegion und deren einzelnen Kommunen- dort wird gerade die Lunge der Welt zerstört – sowie für die Unterstützung von Aufforstungsprogrammen in weiten Teilen der Welt. Öffentliche Gelder sind sinnvoller und nachhaltiger in solchen Projekten angelegt als Investitionen in Wirtschaftskonzerne
Stimme zu;Dies ist die klare Handlungskonsequenz bei der ehrlichen Beantwortung der Frage 1. Das bereits vor einigen Jahren dahingehend veränderte öffentliche Vergaberecht, dass neben der reinen Beurteilung des Preis-/Leistungsverhältnisses auch der öffentlichen Hand auf allen Ebenen die Möglichkeit bietet, nach ökologischen und sozialen Gesichtspunkten Ausschreibungen zu tätigen und diese entscheidenden Faktoren mit in die Vergabe von öffentlichen Aufträgen einzubeziehen, muss endlich konsequente Anwendung finden. Dies gilt selbstverständlich für die Stadt Aachen ebenso wie für die StädteRegion Aachen, der mittlerweile erhebliche Befugnisse der einzelnen Kommunen der StädteRegion übertragen wurden. Die Beantwortung der Frage 3 im Anschluss bezieht sich von den angegebenen Prozentwerten auf die Frage 6 des Kapitels (Bauen-Wohnen-Begrünen), wobei es schwer ist, die kommunalen Mittel auf reine Umwelt-, Bau-  oder Energie-Maßnahmen zu begrenzen. So ist jeder Euro der in eine breit angelegte klima-, natur- und umweltbezogene Bildungs-,Wirtschafts- und ökologisch orientierte Arbeitsmarktpolitik sowie Grundlagenforschung in der weiter auszubauenden  Wissenschaftsregion EUREGIO investiert wird, selbstverständlich auch ein nachhaltiger Beitrag für den Klimaschutz.Die dazugehörigen Grundthesen der ÖDP-Politik sind: <q>Brandschutz statt Feuerwehr</q> (Prävention ist preiswerter als Schadensbehebung) -  <q>Weniger ist mehr</q>  (Bedarfsdeckung ja , Wachstum um jeden Preis nein).  <q>Global denken - regional handeln</q>  (<q>Fairhandel statt Freihandel</q> (über den regionalen Tellerrand schauen und entsprechend handeln) : das sind Grundthesen der ÖDP, die sowohl einen konsequenten Klimaschutz verfolgen als auch die Kommunalhaushalte nicht über die Grenzen des Machbaren belasten sollen.
Stimme zu;Es ist bereits 5 nach 12! Damit kann die Antwort nur lauten: sofort angehen und größtmögliche Schadensbegrenzung erzielen! Zu den %-Zahlen siehe Antwort auf Frage 2!
Stimme voll und ganz zu;Besonders wichtig an dieser Maßnahme ist neben den klimafreundlichen Auswirkungen insbesondere der Aspekt, dass sehr viele  Bürgerinnen und Bürger sowie  gemeinnützige Einrichtungen wie Vereine, Genossenschaften und Stiftungen einbezogen und nachhaltig aktiviert werden. Der <q>Mit-Mach</q>-Effekt fördert die Beschäftigung mit dem Thema <q>Klima-Umwelt-Energie</q>. Anregung: Auch Mieter sollen in einem intelligent gestalteten regionalen Förderprogramm profitieren können.(zum Thema siehe auch nachfolgende Antworten)
Stimme voll und ganz zu;Selbstverständlich, denn dadurch wird einmal versiegelter Boden ebenfalls nachhaltig und sinnvoll genutzt und dem weiteren Flächenfraß in der Region vorgebeugt. kleine Einschränkung: sofern in Zukunft nicht noch effizientere und umwelt-, natur- und klimaschonendere Technologien zur Verfügung stehen und Windräder nicht an Orten stehen, die zu Verwerfungen im Umwelt- und Naturschutz führen.
Stimme zu;Ja, soweit geeignete Freiflächen vorhanden sind. Ökologisch wertvolle Grün- und Naturflächen und bislang nicht von Bodenversiegelung betroffene Flächen sollen dabei der ebenfalls dringend notwendigen Begrünung / Erhalt und Erweiterung von Baumbeständen und der Sauerstoffzirkulation Kalt- und Frischluftschneisen) in der Stadt vorbehalten bleiben.
Stimme voll und ganz zu;Volle Zustimmung. Wobei 20 Mio. € noch knapp bemessen sind. Dabei muss jedoch darauf geachtet werden, dass die nicht durch einen Zuschuss gedeckten Investitionskosten nicht zu weiteren gravierenden Mietpreiserhöhungen führen. 
Stimme zu;Der o.g. Forderung schließt sich die ÖDP an. Ergänzend zu den o.g. Fragen erfolgt an dieser Stelle der Originalauszug aus dem ÖDP-Kommunalwahl-Kurzprogramm 2020:<br>Energiepolitik<br>Die ÖDP steht zu allererst beim Thema Energie für einsparende Maßnahmen. Die beste alternative Energie ist das Einsparen von Energie!  „Green economy“ ist eine Scheinlösung in der Diskussion zum nachhaltigen Klimaschutz und zudem stark lobbyistisch gesteuert. Die Nutzung regenerativer Energien birgt die Gefahr des Rebound-Effekts, der dazu führt, dass der Effekt von verringerten Umweltbelastungen durch Energieverbrauchssteigerungen wieder aufgehoben wird<br>Wir setzen uns deshalb ein<br>- für die Brückentechnologie „Wasserstoff“, die gleichzeitig die wichtige und bisher weitestgehend fehlende Funktion der Speichermöglichkeit von anderen regenerativen Energiequellen übernimmt<br>- für die Nutzung der Windkraft dort, wo sie naturschonend eingesetzt werden kann. Hier bieten sich in der Region die ehemaligen Braunkohleabbaugebiete in großer Fläche an, da die Natur dort ohnehin bereits zerstört wurde. In Kombination mit Sonnenkollektoren können hier geeignete leistungsfähige Energieparks entstehen<br>- für die Nutzung von Energieeinsparpotenzialen, z. B. durch die bedarfsabhängige Schaltung von Ampelanlagen und Straßenbeleuchtungen<br>- für die Gründung von Bürgergenossenschaften zur Gewinnung von Sonnenenergie auf vielen Dächern der Stadt<br>- für die Reduzierung bürokratischer Vorschriften bei der Nutzung erneuerbarer Energien für den privaten, gewerblichen und öffentlichen Sektor analog des belgischen Modells<br>- für den Einsatz von Biogas-Energie in Verbindung mit einer regelmäßig überwachten Schlitztechnik in der Landwirtschaft  bei gleichzeitiger Problemlösung der Überdüngung unserer Böden und Gewässer durch die Gülleaufbringung<br>- für ein Im- und Exportverbot von Gülle<br>- für eine Professionalisierung und kostengünstige Angebote einer städteregionalen Energieberatung für jedermann. Dies beinhaltet auch die Beratung über die notwendige Hardware und Technik<br>- für den Einsatz von Tiefen- und oberflächennaher Geothermie und eine transparente Informationspolitik zu diesem wichtigen Energiethema mit den bestehenden Fördermöglichkeiten<br>- für ein eindeutiges offizielles Veto der StädteRegion zum Thema „Fracking“ an die Landes- und Bundesregierung, da momentan nur ein Moratorium zu Probebohrungen in NRW besteht, welches jederzeit zurückgenommen werden kann
verdoppeln;Der konsequente Ausbau des ÖPNV ist eine entscheidende Voraussetzung für eine weitestgehend individualverkehrsfreie Innenstadt. Anbindungen und Taktungen  müssen dabei intelligent gesteuert werden. Hierbei sind die jeweils neuesten  Instrumente und Erkenntnisse (Stichworte: KI, Digitalisierung, Automatisierung, 4.0) zu erproben und umzusetzen. Erprobungen in der EUREGIO sollten über INTERREG-Mittel und sonstige EU-Mittel zum Zwecke der Ko-Finanzierung initiiert werden. Aber auch beim Thema <q>Verkehrswende</q> gilt für die ÖDP der Grundsatz der Suffizienz (<q>Verkehrsvermeidung ist die beste Verkehrspolitik</q>). <br>ungekürzter Originalauszug aus dem Kommunalwahl-Kurzprogramm der ÖDP:<br>Verkehr und Mobilitätswende<br>Die ÖDP will Mobilität gesund, sozialverträglich und ökologisch mit allen Bürgern unter Einbeziehung ihrer Bedürfnisse neu denken und gestalten.<br>Wir setzen uns deshalb ein<br>- für ein 365 Euro ÖPNV – Jahresticket an jeden Bürger der Städteregion  bzw. für ein 1.000 Euro ÖPNV – Jahresticket in ganz NRW<br>- für P&R-Parkhäuser am Rand der Stadt mit einer Schnellbuslinie in die Innenstadt<br>- für den kontinuierlichen Ausbau des Streckennetzes der Euregiobahn mit Anschlüssen in die Eifel und nach Ostbelgien und Südlimburg<br>- für die Reduzierung der Parkplätze am Straßenrand durch konzentriertes Parken in bewachten Parkhäusern und Tiefgaragen<br>- für eine SUV-freie Innenstadt<br>- für die konsequente Umsetzung des Radentscheides in Aachen<br>- für den Ausbau der Behindertenparkplätze in zentraler Lage.  Diese müssen auch für Menschen und deren Begleitpersonen nutzbar sein, die durch Krankheit anderweitig oder temporär in ihrer Bewegungsfähigkeit so eingeschränkt sind, dass lange Wege für sie unzumutbar sind<br>- für neue Direktverbindungen mit der Bahn, zum Beispiel nach Amsterdam, Rotterdam und Ostende<br>- für den Einsatz von Autoreisezügen ab Aachen
Zeitweise;Diese Frage kann nicht einfach mit <q>ja</q>, <q>nein</q> oder <q>zeitweise</q> beantwortet werden, deshalb ein JA  in der Tendenz,  aber: Es konkurrieren hier mehrere berechtigte Anliegen miteinander:<br>1. Anwohner müssen das Recht auf einen Abstellplatz eines (!) PKWs pro Haushalt haben.<br>2. Behinderte, in ihrer Mobilität stark eingeschränkte Menschen und ihre Begleitperson müssen die Gelegenheit haben, mit einem PKW in das Stadtzentrum und wieder hinaus zu gelangen und im Stadtzentrum zu parken.<br>3. Der Radentscheid ist umgehend umzusetzen und die erforderlichen Vorkehrungen hierfür sind sofort zu realisieren.<br>4. Bis auf den notwendigen Lieferverkehr sind Kleinlaster und SUV aus dem Innenstadtbereich zu verbannen. Dies dient insbesondere der Realisierung von verkehrsgerechten und durchgängigen  Rad- und Fußwegen, da die jeweiligen Straßenbreiten nicht verändert werden können und der Radentscheid und weitere noch zu beschließende Maßnahmen zu Förderung des nicht motorisierten Verkehrs ansonsten Makulatur bleiben.<br>5. Parkzonen in den äußeren Randgebieten, die Möglichkeiten von diversen Sharing-Angeboten, elektro-, wasserstoff-  und solarbetriebene und zugleich komfortable  und flexible, nicht schienengebundene  Bürgerbahnen (analog derer in Freizeitparks - in einigen Städten auch jetzt schon im Einsatz) sind umgehend zu planen und umzusetzen.<br>6. Der Erhalt und die Stärkung von Kultur, Einzelhandel und einer lebendigen Aachener City ist bei allen verkehrsberuhigten Maßnahmen im erforderlichen Maße mit zu berücksichtigen.
