Stimme zu;Der menschengemachte Klimawandel wird in naher Zukunft große Herausforderungen an uns stellen. Wenn wir verhindern wollen, dass sich unsere Umwelt radikal verändert, müssen wir in allen Politikfeldern aktiv gegensteuern.
Stimme zu;Für die Piraten ist eine CO2-Neutrale Stadt Aachen ein wichtiges Ziel. Daher haben wir uns lange dafür ausgesprochen, alle Entscheidungsvorlagen mit den notwendigen Daten (CO2-Bilanz eines Projektes) zu versehen. Nur so kann eine Entscheidung darauf hin abgewogen werden.
Stimme zu;so schnell wie in Aachen möglich
Stimme voll und ganz zu;In der Haushaltsdebatte im AUK (Dez. 2019, siehe: https://www.piratenparteiaachen. de/umwelt/die-konsumptive-baumscheibe-bleibt-leer/) wurde bereits ein Antrag zu einem solchen Programm eingebracht. Wir Piraten haben diesen mitgetragen, er wurde durch die Groko aus CDU uns SPD abgelehnt! Die regenerative Energieerzeugung ist ökologisch und ökonomisch der Verbrennung von fossilen Energieträgern überlegen. Wir sehen in unserer unmittelbaren Nachbarschaft die direkten, zerstörerischen Folgen der fossilen Energiegewinnung z.b. im Hambacher Wald und den angrenzenden Dörfern.
Stimme voll und ganz zu;Was für die Stromerzeugung auf PV-Basis zutrifft, stimmt auch für die Windenergie. Hier könnte die Stadt mit relativ geringem Aufwand schnell große Mengen CO2 einsparen.
Stimme zu;Auf dem Gebiet der Stadt Aachen steht nicht beliebig viel Fläche zur Verfügung, wir können uns aber gut eine Mitnutzung von landwirtschaftlich genutzten Weideflächen vorstellen.
Stimme eher zu;In der Stadt Aachen gibt es mit Altbau-Plus bereits ein gutes Programm zur Sanierung, dieses könnte recht einfach aufgestockt werden. Die zusätzlichen Mittel könnten ggf. auch über einen eigenen städtischen Fördertopf bereitgestellt werden. Die Idee ist sehr gut, wir wollen uns aber nicht exakt eine Zahl festlegen!
Stimme zu;Ohne die Förderung aus der EEG-Umlage droht ein Rückbau von Anlagen und eine Verminderung der PV-Leistung. Durch eine Übernahme der Vergütung durch die Stawag sollte aber nicht die Modernisierung alter Anlagen verhindert werden.
verdoppeln;Unser Ziel ist es Vehrker in Aachen grundsätzlich als ÖPNV zu denken, der durch Rad- und Fußverkehr ergänzt wird und nur noch in einzelfällen als MIV. Dabei ist unser Ziel eine möglichst schnelle Wende hin zu mehr ÖPNV. Die Kapazität in den nächsten Jahren zu verdoppeln ist dabei sicher notwendig, um die Mobilität der Aachener*innen sicherzustellen. Wenn uns eine Wende zum ÖPNV gelingt, werden 100 % Mehrleistung aber langfristig nicht reichen.
Ja;Grundsätzlich sind Fahrverbote eine wirksames Mittel, um Verkehr zu steuern, allerdings auch ein harter Eingriff. Deswegen werden wir uns dieses Mittel für besonders stadtunverträgliche Fahrzeuge vorbehalten insbesondere alte oder schwere Fahrzeuge mit Verbrennungsmotor. Wir fordern einen Zeitpunkt zu beschließen, ab dem Fahrzeuge mit Verbrennungsmotor nur noch mit einer Ausnahmegenehmigung in die Innenstadt fahren dürfen. Wir werden weder die Versorgung noch die Erreichbarkeit der Innenstadt verbieten, aber deren Auswirkungen auf ein verträgliches Maß reduzieren, wenn das durch Anreize nicht alleine funktioniert zur Not auch mit Verboten. Auch der Lieferverkehr muss in Zukunft klimaneutral stattfinden. Wie beim PKW ist es unsere Ansicht, dass es ein wichtiges Zeichen für Unternehmen wie Privatleute ist, wenn ein Zeitpunkt beschlossen ist, ab dem Fahrzeuge mit Verbrennungsmotor in der Innenstadt im allgemeinen verboten sind.
Ja;Grundsätzlich sind Fahrverbote eine wirksames Mittel, um Verkehr zu steuern, allerdings auch ein harter Eingriff. Deswegen werden wir uns dieses Mittel für besonders stadtunverträgliche Fahrzeuge vorbehalten insbesondere alte oder schwere Fahrzeuge mit Verbrennungsmotor. Wir fordern einen Zeitpunkt zu beschließen, ab dem Fahrzeuge mit Verbrennungsmotor nur noch mit einer Ausnahmegenehmigung in die Innenstadt fahren dürfen. Wir werden weder die Versorgung noch die Erreichbarkeit der Innenstadt verbieten, aber deren Auswirkungen auf ein verträgliches Maß reduzieren, wenn das durch Anreize nicht alleine funktioniert zur Not auch mit Verboten. Auch der Lieferverkehr muss in Zukunft klimaneutral stattfinden. Wie beim PKW ist es unsere Ansicht, dass es ein wichtiges Zeichen für Unternehmen wie Privatleute ist, wenn ein Zeitpunkt beschlossen ist, ab dem Fahrzeuge mit Verbrennungsmotor in der Innenstadt im allgemeinen verboten sind.
Stimme zu;Wir benötigen für die von uns geforderte Wende zum ÖPNV eine gute Anbindung an das Umland. Dabei ist die Bevorrechtigung des ÖPNV gerade durch eigene Trassen wichtiger als die Frage welches Fahrzeug für die einzelnen Verbindungen das optimale ist. Wir setzen für eine schnelle Verbesserung zunächst auf Busse, sind aber mittelfristig nicht auf ein System festgelegt.
5-15%;In Aachen muss das Parken neu geordnet werden. Gerade Stellplätze am Straßenrand sollten wegfallen.
Stimme zu;Pilotversuche sind unerlässlich, um Erfahrungen zu sammeln, wie unsere Mobilität in Zukunft gelebt wird. Allerdings ist der Verzicht auf eigene PKW eine drastische Änderung des Mobilitätsverhaltens ganzer Quartiere, die entsprechend aufwändig begleitet werden muss.
Stimme zu;Die Stadt Aachen muss zu einem neuen Umgang mit Bauflächen gelangen und Möglichkeiten finden, auf der selben Fläche mehr Menschen unterzubringen.
Stimme zu;Mittelfristig muss auch die Wärmeversorgung klimaneutral sichergestellt werden. Wir fordern enge Vorgaben bei Sanierung und Neubau, um möglichst effizient zu heizen. Allerdings ist gerade bei Gebäudedämmung auf eine Balance zwischen Energieeinsparung und Ressourcenverbrauch durch die Dämmung zu achten.
Stimme zu;Die Auswirkungen von Bauwerken muss deutlich langfristiger betrachtet werden als bisher. Gerade der Werkstoff Holz und die Begrünung bieten Möglichkeiten zur CO2-Speicherung.
Stimme zu;Unser Ziel ist ein deutlich dichterer Baumbestand der Stadt, dabei ist der Erhalt von Bestandsbäumen von besonderer Bedeutung.
Stimme zu;Die Stadt führt bei Bauvorhaben schon jetzt eine Analyse der Umweltauswirkung durch. Das Thema Kaltluftzufuhr ist für Aachen besonders wichtig. Hier müssen weitere Verschlechterungen unterbunden werden.
Stimme nicht zu;Wir wollen eine Land- und Forstwirtschaft, die den Erhalt der natürlichen Ressourcen in den Vordergrund stellt. Wir möchten aber die Möglichkeiten offen halten die Verpachtung nach eigenen Vorgaben in diesem Sinne durchzuführen.
Stimme nicht zu;Wir unterscheiden zwischen Pestiziden und Dünger. Während wir starke Einschränkungen bei Pestiziden begrüßen sehen wir Dünger weniger kritisch
Stimme zu;Wir unterstützen diese Entwicklung, die in Aachen ohnehin schon stattfindet. Zudem achten wir bei der Vergabe grundsätzlich auch auf soziale Standards und Tarifbindung der Anbieter.
Stimme zu;Für die Biodiversität werden Totholzanteile von 5-10% empfohlen, wir wollen diese Empfehlung auch in Aachen umsetzen.
Stimme zu;Allerdings sehen wir dies nicht als dauerhafte kommunale Aufgabe an.
