Stimme zu;Nur 0,1 Grad Celsius hätte 2019 wärmer sein müssen, um das heißeste Jahr seit Beginn der Wetteraufzeichnung zu werden. 2019 lieferte sich dabei ein heißes Rennen mit 2013, 2014, 2015, 2016, 2017, 2018 - den Jahren, die alle die Top 10 erreicht haben. Man muss schon sehr stur oder sehr verbohrt sein, um trotzdem an einen Zufall oder gar an Messfehler zu glauben. Natürlich gibt es einen menschengemachten Klimawandel. Etwas so gravierend Schlimmes, das menschengemacht ist, muss auch wieder von Menschen rückgängig gemacht werden. Und das nicht erst morgen oder übermorgen oder irgendwann in der Zukunft, sondern jetzt. Sofort. Diese berechtigte Erwartung haben nicht zuletzt die vielen Kinder und Jugendlichen klargemacht, die seit Monaten Freitag für Freitag auf die Straßen gehen. Wie Recht sie haben und dass das eine Herausforderung ist, die weltweit katastrophale Konsequenzen hat, zeigen die Waldbrände in Australien, die Deep Freezes in den USA oder die schweren Stürme in Indien. Auch wenn das alles weit weg ist, müssen wir hier in Aachen das Klima schützen. Es kann und darf uns nicht egal sein, dass Menschen in anderen Ländern dieser Welt ihre Lebensgrundlage verlieren und sich die Kinder und Jugendlichen in unserem Land Sorgen um die Zukunft der Erde machen. Der Ausruf des Klimanotstands ist ein wichtiger und wegweisender Schritt in die richtige Richtung. Wir müssen alle politischen Maßnahmen und Entscheidungen immer auch nach ihren Konsequenzen für das Klima bewerten. In Aachen kommt ein weiterer ähnlich entscheidender Beschluss hinzu, den der Stadtrat bereits gefasst hat: Wir erkennen das 1,5°-Ziel des Pariser Klimaabkommens auch als neues kommunales Klimaziel für Aachen an.
Stimme zu;(Eher) Ja, der entsprechende Ratsbeschluss ist im Jahr 2019 gefasst worden. Die SPD hat den entsprechenden Beschlussentwurf mit formuliert. Zukünftig soll in allen Verwaltungsvorlagen die Relevanz der Maßnahme für den Klimaschutz und für die Klimafolgenanpassung, sowie der Effekt auf die CO2-Emissionen mit aufgeführt werden (s. Beschlussvorlage Umweltausschuss 23.06.2020). Die hier unterstützend agierende 3 Klimaschutzmanager/ innen werden in Kürze eingestellt. Die technische Umsetzung stellt die Verwaltung darüber hinaus vor große Probleme, wenn Entscheidungen nicht eindeutig sind. Wie ist z.B. der Neubau einer Kita oder der Betrieb des Theaters zu bewerten? Streng genommen ist beides für das Klima negativ. Der Sinn der Frage scheint aber die Grundausrichtung der Politik zu treffen. Hier werden wir uns für eine Bevorzugung der klimaverträglichen Maßnahmen stark machen.
Stimme zu;2030
Stimme eher zu;Siehe Ratsantrag 570/17. Das Aachener Programm soll gemeinsam mit der STAWAG entwickelt werden, im Prinzip aber dem Dürener Modell folgen. In Aachen ist die Ausbauquote bereits erheblich weiter, als in Düren, so dass der Ansatz ein anderer sein muss. Wir waren einfach schon früher so weit, wie Düren heute, so dass wir andere Hemmnisse zu bewältigen haben, als unser Nachbar im Osten. Der Auftrag ist erteilt, die Umsetzung bei der Verwaltung in Arbeit, s. Zwischenbericht (Umweltausschuss am 23.06.2020).
Stimme eher zu;Siehe Ratsantrag 510/70. Wir fordern dabei als SPD ein 1:1-Repowering als größtmöglichen und nachhaltigen Ausbau der Windenergie auf Aachener Stadtgebiet. Das ganze muss jedoch im Einklang mit den Zielen des Umweltschutzes und des Artenschutzes stehen. Der Auftrag ist erteilt, die Umsetzung bei der Verwaltung in Arbeit.
Stimme zu;Dies wird derzeit bereits von der STAWAG geprüft eine erste Fläche in der Städteregion wird entsprechend beplant. Der Auftrag ist erteilt, die Umsetzung bei der STAWAG in Arbeit.
Teils / teils;Hier sind Bund und Land über z.B. KfW Darlehen in der Pflicht. Wir streben ein kleineres, ergänzendes Förderprogramm i.H.v. 3,5 - 4 Mio € pro Jahr an.
Stimme nicht zu;Wir setzen uns für die Aufnahme und Vergütung des eingespeisten und nicht eigengenutzten Stromes zu Marktkonditionen durch STAWAG ein. Darüber hinaus für die Unterstützung des Eigenverbrauchs durch die Kunden durch einen technisch möglichst unaufwändigen und somit kostengünstigen Umbau des Zählerplatzes, wobei kleine Anlagen ohne Umbau auskommen.
etwas;Die Fahrkilometer sollen im ca. 40% steigen. Dabei sind folgende Maßnahmen angestrebt:<br>1. Starke Achsen<br>2. grüne Welle auf eigener Fahrspur in Mittellage<br>3. zweispurig oder Einspurig mit Zweirichtungsverkehr im Busbetrieb<br>4. eigene Spur vor Kreuzungen mit Lichtsignalbeeinflussung<br>5. Bau der Regiotram und Ausbau zur Stadtbahn bis Brand und zum UKA<br>6. Ergänzung von Direktverbindungen<br>7. Ausbau des movA Ansatzes zur Multimodalität<br>8. Aufbau von ca. 40 Mobilitätshubs<br>9. Einführung von Netlinern als on-demand-system<br>10. Finanzierung durch obligatorisches Jobticket für alle gem. ÖPNV-Zukunftskommission<br>11. Kosten bei ca. 45 Mio. Euro p.a.
Nein;Stattdessen soll der Bereich innerhalb des Grabenrings weitestgehend Anliegern vorbehalten bleiben. Parkhäuser sind ausgenommen.
