Stimme zu;Durch den Klimawandel wird den Menschen und Tieren in sehr absehbarer Zeit die Lebensgrundlage entzogen.
Stimme zu;Die UWG denkt global und handelt lokal. Wegen der Dramatik des Klimawandels muss alles abgewogen werden, um optimale Lösungen zu finden.
Stimme zu;2025
Stimme voll und ganz zu;CO2-Einsparung, siehe Ziele 2011, Anteil erneuerbare Energien
Stimme voll und ganz zu;CO2-Einsparung, siehe Ziele 2011, Anteil erneuerbare Energien
Stimme zu;CO2-Einsparung, siehe Ziele 2011, Anteil erneuerbare Energien
Stimme voll und ganz zu;CO2-Einsparung gemäß Zielen
Stimme zu;siehe oben, Ausbau erneuerbare Energien
deutlich;Langfristig weitere Erhöhung, innerhalb der Legislaturperiode 50 %. Zusätzlich langfristige Projekte, z. B. Seilbahn, Stadtbahn, Ausbau Park & Ride
Ja;z. B. Einrichtung von Spielstraßen zur Senkung der Schadstoffbelastung in der Luft - Lieferverkehr bis Logistikzentrum (z. B. Jahrhunderthalle Jülicher Straße) und Elektrolieferung in die Innenstadt
Ja;z. B. Einrichtung von Spielstraßen zur Senkung der Schadstoffbelastung in der Luft - Lieferverkehr bis Logistikzentrum (z. B. Jahrhunderthalle Jülicher Straße) und Elektrolieferung in die Innenstadt
Stimme zu;Bus und Bahn, Radschnellwege
5-15%;langfristige, transparente Planung, kurzfristige, saisonale Umnutzung von Parkplätzen unter Einbindung der Anwohner
Stimme zu;unter Einbindung der Einwohner, z. B. Luisenhöfe - Anpassung der Parkplatzverordnung/Bauordnung für Aachen
Stimme zu;Tiny-houses, innerstädtisch, ggf. Umnutzung von Leerstand - Ressourcenschonung regional
Stimme zu;
Stimme zu;
Stimme zu;von Baumkataster zu Baumschutz - nicht nur Baumgröße, sondern auch Arten schützen
Stimme zu;
Stimme zu;ebenso Permakultur
Stimme zu;unter Einbeziehung anderer öffentlicher Flächen (wie z. B. Bundesstraßen) und Bahn
Stimme zu;
Stimme zu;
Stimme zu;Aachener Markthalle am Platz des Parkhauses Büchel nach dem Entwurf von Albert Sous.
Stimme zu;Unverpackt-Läden, Weiterbildung für Kinder durch von uns gewünschte Viertelsbüros, Foodsharing und Repaircafés, Containern fördern, Teilen, Schenken, Verteilen statt Wegwerfen
um die Hälfte;Repaircafés, Tauschbörsen, Give-Boxen, Leihen, Schenken - Weiterbildung in Schulen zu dem Thema - Trinkwasserbrunnen in der Stadt
Stimme zu;Nutzung auch zum Gardening
Stimme zu;Möglichkeit prüfen, ob die Stadt Vorgaben machen kann - Gespräche mit IHK, MAC, Handwerkskammer Aachen
