Stimme zu;Dem Klimawandel sollte oberste Priorität gelten, da er wie keine andere Entwicklung das Leben auf unserer Erde in allen Bereichen nachhaltig verändern wird. Die negativen Auswirkungen werden vielerorts heute schon sichtbar, und zeigen sich in extremen Unwettern, Hochwassern, Hitzewellen, Dürren...die Liste ist lang. Deshalb müssen wir schon heute unsere Städte neu denken, um unsere Umwelt auch für die kommenden Generationen zu schützen. Städten kommt dabei eine besonders große Verantwortung zuteil, da sie durch die Vielzahl an Menschen die Orte mit dem stärksten Ressourcenvebrauch und den höchsten CO2-Emissionen darstellen. Deshalb sollten wir in Aachen mit gutem Beispiel vorangehen und uns nicht länger mit hohen Zielsetzungen zufriedengeben, sondern endlich auch dafür sorgen, dass wir diese auch erreichen.
Stimme zu;Klimaschutz sollte ein essentieller Bestandteil der zukünftigen Stadtentwicklung werden. Wir planen unsere Städte für Menschen, doch werden bei all den politischen Entscheidungen die Menschen von morgen vergessen, die unter den kurzsichtigen (viel zu oft rein ökonomischen) Entwicklungen von heute leben müssen. Wenn wir wirklich für die Menschen planen, brauchen wir einen ganzheitlichen Ansatz, der nicht nur kurzfristig die meisten Renditen abwirft, sondern nachhaltig zum Gemeinwohl der Bevölkerung beiträgt. Alle Maßnahmen sollen zukünftig ihren maximal möglichen Beitrag zum Klimaschutz leisten.
Stimme zu;2026
Stimme voll und ganz zu;Volle Zustimmung, die Stadt muss die Energiewende stärker vorantreiben und eine Beteiligung der Bürger attraktiver machen. 
Stimme voll und ganz zu;Volle Zustimmung. Der Ausbau von Windkraftanlagen kam durch eine mangelnde Aufklärung in der Bevölkerung, nicht logische Abstandsregeln und bürokratische Hürden zu sehr ins Hintertreffen. Zusätzlich zum Repowering sollten neue Standorte für Windkraftanlagen gefördert werden.
Stimme zu;Ja, jedoch sollten Hybridnutzungen (z.B. für die Landwirtschaft) der Flächen gesichert werden um den immensem Landverbrauch abzudämpfen. Bestenfalls würden sich dazu z.B. die Flächen der heutigen Braunkohleabbaugebiete eignen, die so schnell wie möglich aus der Nutzung genommen werden sollten. Hierfür könnten interkommunale Kooperationen gefördert werden, um die Energiewende gemeinsam anzugehen.
Stimme voll und ganz zu;Durch veraltetet Gebäudeisolierung und CO2-intensive Heizsysteme haben heutzutage viele Gebäude in Aachen einen zu hohen Energieverlust und dadurch hohen energetischen Aufwand. Den Vorschlag zur Bezuschussung der Investitionskosten zur energetischen Sanierung unterstützen wir daher. Außerdem sollten mehr Informationen zum Einsparungspotenzial und den damit längerfristig sinkenden Kosten für die Eigentümer zur Verfügung gestellt werden. 
Stimme zu;Ein Stopp der Förderung und bürokratische Hürden würden den bisherigen Ausbau der erneuerbaren Energien dämpfen und dem Fortschritt der Energiewende schaden. Deshalb unterstützen wir die Forderung.
deutlich;Neben einer Erhöhung der Kapazitäten muss es vor allem zu einem reibungsloseren Ablauf besonders des nicht-schienengebundenen ÖPNVs kommen. Dazu MUSS ein neues Verkehrskonzept besonders für die Innenstadt erarbeitet werden, sodass durch separate Busschnellspuren die Zuverlässigkeit und damit Attraktivität des ÖPNVs maßgeblich gesteigert wird. Nur wenn es annehmbare Alternativen gibt, werden die Menschen auch auf ihr Auto verzichten.
Ja;Durch ein neues Mobilitätskonzept innerhalb (und inklusive) des Alleenringes soll der Fokus auf einem effizienten ÖPNV und durchgängig ausgebautem Fahrradwegenetz liegen. Dabei kann man sich bspw. am Beispiel von Gent orientieren, das diesen Schritt bereits erfolgreich umgesetzt hat. Die innerstädtischen Geschäfte haben darunter nicht gelitten, im Gegenteil, die Stadt ist belebt und floriert. Dieses Mobilitätskonzept muss fertig und akzeptiert sein, bevor eine Reduzierung des PKW-Verkehrs schrittweise verzahnt mit der Umsetzung des Mobilitätskonzepts erfolgt.
Zeitweise;Die Anlieferung zu ansässigen Geschäften und Lokalen sollte weiterhin möglich sein. Durch angepasste Zeiten kann zu einer reduzierten Störung der Passanten beigetragen werden.
Stimme zu;Ja, denn allein von und nach Jülich pendeln 2.700 Leute großteils mit dem Auto, die umliegenden Gemeinden nicht inbegriffen. Der ÖPNV ist aktuell zu langsam und unkomfortabel, um eine wirkliche Alternative zum privaten Fahrzeug zu bieten. Dass muss sich ändern. Dazu sollte auch eine direktere Wiederanbindung von z.B. Jülich an den Schienenverkehr in Betracht gezogen werden. Diese neuen Verbindungen z.B. von Aachen via Jülich nach Düsseldorf, würde Aachen mit den umliegenden Metropolen verbinden und die Attraktivität der Stadt und des ÖPNVs steigern.
> 30%;Eine zu drastische Streichung der Parkplätze könnte den Unmut der Bevölkerung auf sich ziehen, da zuerst bessere Alternativen zum Erreichen der Innenstadt mit ÖPNV oder Radwegen geschaffen werden müssen. Außerdem muss den Bürgern durch stärkere Beteiligung an den Prozessen der daraus resultierende Mehrwert vermittelt werden. Parkhäuser sollten vorerst erhalten werden, da sie als Knotenpunkte des geregelten Parken genutzt werden können. Die Parkflächen an Straßen sind jedoch im Zuge der Verkehrsberuhigung und des Ausbaus von Fahrradinfrastruktur stark zu reduzieren.
